,Store ID ,Store_Area,Items_Available,Daily_Customer_Count,Store_Sales
472,473,1430,1690,800,78950
224,225,1647,1962,800,70020
492,493,1491,1770,800,52610
111,112,1485,1787,800,62950
698,699,1655,1956,800,47350
793,794,1388,1672,800,73500
283,284,1390,1646,800,46840
392,393,1264,1502,800,79410
508,509,1496,1787,800,58070
140,141,1978,2374,800,48590
870,871,1487,1776,800,46230
530,531,1482,1777,800,77570
376,377,1496,1774,810,75490
856,857,1206,1460,810,41990
345,346,1954,2378,810,45820
558,559,1231,1472,810,70290
398,399,2063,2493,810,51480
421,422,1175,1405,810,91200
137,138,1581,1905,810,62280
106,107,1692,2031,810,69310
536,537,1192,1445,810,43470
136,137,1638,1972,810,60940
190,191,1391,1649,810,83750
675,676,1755,2072,810,69610
879,880,1792,2131,810,76420
758,759,1486,1758,820,101820
356,357,1798,2134,820,72050
877,878,1771,2138,820,57820
98,99,1785,2147,820,63660
373,374,1909,2306,820,31940
515,516,1735,2084,820,56440
25,26,1732,2073,820,70050
556,557,932,1138,820,89760
762,763,1197,1428,830,65410
90,91,1590,1912,830,65350
797,798,1536,1808,830,56380
148,149,1229,1480,830,38070
571,572,1834,2184,830,94460
598,599,1664,2016,830,59130
873,874,1209,1452,830,52050
324,325,1365,1645,830,60470
629,630,1887,2264,830,62050
621,622,1383,1687,830,81390
600,601,1433,1722,830,77080
861,862,1939,2333,830,40670
267,268,1701,2030,830,60140
419,420,1431,1710,840,74170
690,691,1191,1436,840,43520
554,555,1832,2185,840,87330
197,198,1504,1827,840,78230
776,777,1444,1742,840,56710
415,416,1462,1732,840,68260
741,742,1502,1802,840,49730
217,218,1525,1829,840,55820
216,217,1575,1899,840,66270
697,698,1421,1704,840,53840
434,435,1373,1635,840,61040
180,181,1612,1939,840,74250
650,651,1334,1584,840,57200
24,25,1234,1488,840,41880
892,893,1387,1663,850,82080
361,362,1219,1468,850,35600
859,860,1458,1757,850,58600
518,519,1520,1817,850,63600
549,550,869,1050,850,52540
70,71,1692,2019,850,56650
487,488,1323,1571,850,27970
87,88,1252,1506,850,39650
352,353,1397,1686,850,21300
777,778,1477,1798,850,59820
798,799,2019,2420,850,85670
818,819,1822,2160,860,49720
649,650,1989,2414,860,116320
118,119,1500,1798,860,56710
330,331,1060,1273,860,57500
391,392,1406,1680,860,60980
858,859,1152,1393,860,54380
261,262,913,1106,860,56610
734,735,1743,2061,860,81930
63,64,1310,1561,860,65920
742,743,1534,1858,860,88370
845,846,1419,1743,860,65970
477,478,1244,1480,860,93530
736,737,1098,1309,860,59530
168,169,1232,1487,860,49800
447,448,1768,2123,860,49590
382,383,1454,1737,870,23090
326,327,1458,1736,870,48550
829,830,1218,1452,870,43910
743,744,1418,1699,870,49160
593,594,1624,1946,870,20270
225,226,1829,2175,870,92240
694,695,1297,1529,870,52940
406,407,896,1059,870,75110
170,171,1343,1599,870,44910
45,46,1227,1471,870,49270
458,459,1332,1610,880,38890
503,504,1484,1774,880,45080
229,230,1350,1634,880,77120
32,33,1331,1608,880,60460
545,546,1185,1420,880,80370
450,451,1474,1759,880,75880
802,803,1200,1442,880,44320
852,853,1477,1790,880,16370
423,424,1443,1755,880,49330
218,219,1451,1737,890,68430
516,517,1627,1948,890,32610
753,754,1453,1749,890,58440
120,121,1441,1727,890,66000
729,730,1854,2205,890,36290
387,388,1487,1801,890,51130
491,492,1429,1695,890,53890
201,202,1310,1558,890,72320
634,635,1568,1920,890,53750
375,376,1391,1683,890,68390
507,508,1244,1477,890,27840
444,445,1628,1959,890,71480
339,340,966,1172,900,85470
121,122,1525,1835,900,32770
866,867,1565,1854,900,100900
820,821,1072,1296,900,47590
100,101,1096,1321,900,78420
688,689,1160,1401,900,35360
760,761,1645,1963,900,47300
133,134,1713,2071,900,40490
402,403,1439,1724,900,50920
830,831,1724,2101,900,66390
737,738,1121,1351,900,46380
725,726,1445,1734,900,21470
203,204,992,1192,900,34180
843,844,1463,1751,900,49990
605,606,1690,2065,910,51420
591,592,1847,2186,910,75120
381,382,1208,1467,910,50720
833,834,1437,1725,910,46220
805,806,1577,1902,910,54060
599,600,1619,1947,910,74330
47,48,1660,1982,910,62530
701,702,1317,1581,910,30020
50,51,1514,1820,910,81820
130,131,1342,1595,910,57480
722,723,1799,2173,910,36280
256,257,1648,2003,910,82930
205,206,1807,2149,910,38120
368,369,1398,1678,920,48030
422,423,1395,1662,920,90940
544,545,1270,1519,920,58390
480,481,1764,2132,920,40840
109,110,1415,1700,920,36330
65,66,1707,2052,920,69130
417,418,1421,1724,920,52090
239,240,1881,2244,920,66030
543,544,1475,1753,920,44670
493,494,1313,1574,920,43130
268,269,1206,1456,920,37130
494,495,1609,1943,920,40300
452,453,1086,1291,930,69090
534,535,1381,1634,930,30790
613,614,1015,1229,930,31180
483,484,1842,2204,930,51320
404,405,1948,2374,930,89540
719,720,1827,2160,930,36160
344,345,2004,2390,930,50130
752,753,1648,2017,930,81720
653,654,1607,1933,930,81260
745,746,1450,1728,930,38560
320,321,1208,1459,930,41490
652,653,1809,2145,940,36530
86,87,1931,2342,940,97260
479,480,933,1121,940,55990
474,475,1836,2195,940,45160
113,114,1607,1927,940,45080
572,573,1143,1375,940,85160
199,200,1148,1371,940,49760
233,234,1366,1649,940,52780
265,266,1240,1492,940,66840
630,631,1505,1836,940,61730
528,529,1700,2064,940,70310
380,381,1599,1946,940,78090
367,368,1484,1774,940,59800
22,23,1719,2065,950,52780
506,507,1784,2142,950,64010
855,856,1214,1455,950,87220
359,360,1495,1799,950,57160
182,183,1923,2339,950,70930
433,434,1249,1503,950,61970
651,652,1533,1817,950,84360
343,344,1145,1375,950,63590
237,238,1257,1505,950,83250
732,733,1641,1999,950,93000
414,415,1378,1670,950,58610
183,184,1702,2053,950,64670
325,326,1510,1810,950,35230
470,471,1611,1919,960,71240
390,391,1509,1799,960,38600
329,330,1640,1948,960,51270
78,79,1720,2044,960,38660
766,767,1596,1939,960,79760
88,89,1238,1468,960,45720
266,267,1381,1660,970,50170
294,295,1513,1803,970,57530
718,719,1430,1743,970,53230
315,316,1293,1554,970,75800
847,848,1474,1745,970,63020
728,729,1487,1773,970,59190
319,320,1513,1825,980,75950
565,566,1152,1386,980,49590
360,361,1759,2095,980,34190
54,55,1570,1898,980,64090
484,485,1316,1597,980,36560
660,661,1667,2020,980,66070
868,869,1775,2104,980,105150
260,261,1174,1426,980,25950
27,28,1390,1648,980,60530
512,513,1191,1421,980,65820
385,386,1491,1800,980,75620
19,20,1940,2340,980,40190
128,129,1365,1636,980,79950
134,135,1370,1638,980,51850
171,172,1539,1837,990,78470
453,454,1808,2154,990,35220
671,672,1685,2010,990,62380
435,436,1536,1836,990,52060
31,32,1250,1508,990,14920
30,31,1439,1746,990,80140
411,412,1432,1719,990,49540
439,440,1908,2304,990,79500
756,757,1250,1506,990,62420
835,836,1651,2009,1000,58160
104,105,1309,1587,1000,50950
425,426,1788,2133,1000,54590
611,612,1529,1839,1000,50590
399,400,1848,2254,1000,59970
409,410,1340,1605,1000,53400
445,446,1556,1869,1000,33010
566,567,1439,1703,1000,67290
38,39,1839,2204,1010,55170
145,146,1462,1762,1010,51190
791,792,1511,1791,1010,53760
448,449,1378,1656,1010,73170
658,659,1348,1623,1010,72940
641,642,1100,1331,1010,57330
81,82,1539,1858,1020,88910
7,8,1261,1507,1020,37720
262,263,1199,1433,1020,73710
727,728,1440,1711,1020,88120
746,747,1474,1776,1020,51990
204,205,1540,1857,1020,58260
706,707,1495,1793,1020,65300
34,35,1375,1648,1020,72430
284,285,1856,2216,1020,64820
850,851,1977,2362,1020,59950
457,458,1165,1411,1020,38620
643,644,1299,1555,1020,56850
264,265,1153,1397,1020,50440
568,569,1772,2146,1030,48540
632,633,1564,1869,1030,53370
800,801,1436,1715,1030,48180
6,7,1542,1858,1030,72240
277,278,1572,1869,1030,21750
211,212,1488,1807,1030,70810
18,19,1438,1731,1030,63540
679,680,1519,1823,1040,69210
693,694,1560,1883,1040,83220
275,276,1517,1805,1040,41740
49,50,1408,1688,1040,76350
720,721,1118,1338,1040,40450
787,788,1427,1723,1040,67090
510,511,1678,2022,1050,66050
644,645,1767,2121,1050,78430
838,839,1638,1937,1050,70940
388,389,1339,1589,1050,33890
12,13,1746,2064,1050,60470
481,482,1675,2002,1050,64990
665,666,1086,1299,1050,44400
654,655,1165,1387,1060,82350
393,394,1905,2280,1060,82350
149,150,1936,2300,1060,49170
253,254,1428,1719,1060,39800
893,894,1200,1436,1060,76440
475,476,1463,1764,1060,69050
186,187,1524,1796,1060,41080
570,571,1199,1461,1070,54370
714,715,1246,1482,1070,60680
774,775,1430,1704,1070,43370
559,560,1237,1512,1070,88210
245,246,1657,2003,1070,58540
625,626,1411,1680,1070,61590
438,439,1297,1561,1070,40000
285,286,1000,1215,1070,52520
192,193,1462,1770,1070,67710
500,501,1382,1660,1070,83720
872,873,1690,2024,1070,75930
247,248,1296,1559,1070,92300
282,283,1533,1848,1070,56440
208,209,1703,2055,1080,37830
316,317,1375,1659,1080,76640
58,59,1761,2104,1080,70770
227,228,1699,2053,1080,81870
37,38,1174,1411,1080,62870
57,58,1470,1763,1080,83660
891,892,1582,1910,1080,66390
443,444,1307,1570,1080,41710
597,598,1563,1872,1080,68420
761,762,1464,1771,1080,31270
103,104,1374,1655,1080,94170
513,514,1832,2208,1090,46760
795,796,1440,1747,1090,67320
810,811,994,1194,1090,81390
158,159,775,932,1090,42530
10,11,1187,1439,1090,71280
274,275,1631,1967,1090,69600
871,872,1800,2158,1100,98260
717,718,1582,1894,1100,41800
26,27,1475,1777,1100,25820
181,182,1174,1396,1100,40930
662,663,1211,1447,1110,40730
895,896,1174,1429,1110,54340
715,716,1990,2384,1110,64690
546,547,1614,1938,1110,53230
806,807,1850,2214,1110,85000
301,302,1585,1916,1110,50740
721,722,1766,2109,1120,57910
263,264,1875,2254,1120,70400
825,826,1363,1630,1120,53900
416,417,1440,1733,1120,65310
96,97,1853,2235,1120,60960
374,375,1940,2343,1130,84690
9,10,1030,1235,1130,44150
365,366,1514,1837,1130,36690
410,411,1410,1704,1130,59760
514,515,1271,1523,1140,50940
99,100,1579,1899,1140,41190
574,575,1770,2131,1140,54650
748,749,1361,1638,1140,46040
635,636,1933,2338,1140,44730
883,884,1357,1625,1140,52160
396,397,1689,2044,1140,32260
191,192,1778,2148,1140,69940
240,241,1329,1609,1150,68590
886,887,1655,1986,1150,77430
244,245,1185,1418,1150,89310
97,98,1816,2171,1160,61180
881,882,1344,1605,1160,76740
354,355,1433,1707,1160,61460
449,450,1685,2015,1160,79220
13,14,1615,1931,1160,59130
801,802,1862,2248,1160,51910
864,865,1846,2195,1170,41090
132,133,1396,1672,1170,50070
705,706,1609,1924,1170,63050
278,279,1855,2197,1170,80490
102,103,1262,1500,1170,89080
869,870,1439,1732,1170,80580
750,751,1085,1308,1170,76670
405,406,1613,1893,1180,46030
187,188,1660,1985,1180,42860
602,603,1429,1720,1180,59540
272,273,1319,1571,1190,25630
747,748,1524,1819,1190,39970
371,372,1078,1305,1190,55530
223,224,1318,1606,1200,24410
235,236,1767,2110,1200,64950
564,565,1466,1743,1200,70810
386,387,1415,1697,1200,39420
84,85,1287,1525,1200,90180
156,157,1613,1921,1200,72800
878,879,1205,1468,1210,61210
874,875,1859,2222,1210,87000
351,352,1584,1897,1210,47310
114,115,1909,2287,1210,46830
525,526,1001,1194,1210,44890
288,289,1386,1674,1210,58610
276,277,1764,2109,1210,50130
291,292,902,1093,1210,64640
400,401,1718,2056,1220,83600
226,227,1852,2227,1220,68230
890,891,1549,1851,1220,70620
553,554,1165,1390,1220,54610
426,427,1138,1375,1220,57450
471,472,1187,1417,1230,58940
159,160,1275,1534,1230,54300
418,419,1280,1530,1240,43860
782,783,1073,1280,1240,60440
196,197,1496,1791,1240,67030
56,57,1734,2060,1240,66210
670,671,1461,1739,1250,22310
40,41,1435,1725,1250,49550
383,384,1555,1881,1260,91360
48,49,1472,1776,1260,59980
812,813,1597,1918,1260,71830
110,111,1162,1382,1260,51700
799,800,1236,1508,1260,70830
811,812,1354,1635,1270,95900
595,596,1498,1805,1270,82270
533,534,1381,1633,1270,50250
333,334,1619,1957,1280,45580
526,527,1857,2236,1280,67420
442,443,1472,1766,1290,57140
446,447,1179,1428,1290,74570
51,52,1565,1880,1300,57830
408,409,1303,1587,1310,102310
541,542,1633,1936,1320,46050
834,835,1327,1609,1320,41500
590,591,1206,1437,1330,54060
112,113,1897,2248,1330,56010
669,670,1485,1785,1340,66160
372,373,1876,2254,1340,21650
353,354,1445,1709,1340,62180
659,660,1132,1366,1340,52450
179,180,1626,1941,1350,58090
424,425,1247,1523,1350,53500
547,548,1141,1353,1370,72000
601,602,1241,1489,1380,76250
77,78,1250,1475,1390,65560
648,649,1514,1794,1400,54820
83,84,1572,1884,1410,42670
231,232,1397,1661,1410,49160
16,17,1578,1907,1440,77250
334,335,1624,1973,1440,44660
312,313,1494,1806,1450,43640
94,95,1921,2305,1470,77120
535,536,1057,1262,1490,35420
349,350,1886,2228,1530,40350
848,849,919,1099,1560,73810
